m_mistrust,outcome,credences
0.9755102040816326,True consensus,"[[0.9999781336645704, 0.9998952037205445, 0.9999917668039943, 0.9999883315627609, 0.9999984603513171], [0.9999813324091671, 0.9999866188532002, 0.9999999643148506, 0.9999999942452592, 0.9999997394215128], [0.9999998504772593, 0.9999999944396033, 0.9999999996821847, 0.9999994880688224, 0.9999993528855985], [0.9999998498864981, 0.9998759372084477, 0.9998413329614154, 0.9999990629317312, 0.9997564445355518], [0.9999999902057765, 0.9999999878936112, 0.9999986790604042, 0.9999999626123721, 0.9999988254124815], [0.9995137518221201, 0.9999999672404928, 0.9999887416415182, 0.9999995757406446, 0.9999488905079594], [0.999674767159598, 0.9943058365085949, 0.9999875257073866, 0.9999989273082567, 0.9999999215888961], [0.9999999998601279, 0.9999999514724641, 0.9999999948687496, 0.9999503386911665, 0.9999999848895561], [0.999999803957255, 0.9999999894318363, 0.9999965174219527, 0.9999999115286796, 0.9999244365244294], [0.9998677888851388, 0.9999988357672935, 0.9999978284737461, 0.9999998946621566, 0.9999999969514997], [0.999991792392751, 0.9999995335097724, 0.9999999568486045, 0.9999935494988916, 0.9999994477964071], [0.9999999176092746, 0.9999999982544163, 0.9999999976618992, 0.9999217481584343, 0.9999999949340342], [0.999999988220722, 0.9999999924708343, 0.9999999867381566, 0.9999997491564727, 0.9999999588502788], [0.9999999879481416, 0.9999989849491054, 0.9999929206913286, 0.9999974165254293, 0.9999995785042034], [0.9999998743185592, 0.9999987807460166, 0.9999970244320332, 0.9999995591157795, 0.9997357813130852], [0.999994666010245, 0.9999958474209888, 0.999999998192485, 0.999999905329829, 0.9999998805414361], [0.999999999444104, 0.9999996426140402, 0.9999999994418757, 0.9999999434233865, 0.9999920804430736], [0.999999999638442, 0.9999996545157933, 0.9999999373417652, 0.9999997922002033, 0.9999994541824118], [0.9999999782968387, 0.9999993874709582, 0.999999749345719, 0.9999994319250173, 0.9999940418306827], [0.9999995255658407, 0.9999993001655484, 0.9999947435988761, 0.9999927484115609, 0.9999990017188641]]"
1.1346938775510205,True consensus,"[[0.9999546511206551, 0.9997982683611225, 0.9998284283937644, 0.9970841570794698, 0.9999891207118827], [0.999968755338674, 0.9999980697476347, 0.9999992795421873, 0.999999606571381, 0.9999998718614727], [0.9999997288042873, 0.9999997911650467, 0.9999999690099369, 0.9999982145850161, 0.9999998580658286], [0.9999998160794694, 0.9999750441578584, 0.9973434915013267, 0.9999939275873071, 0.9996568924753064], [0.9999992293158494, 0.9999998688007371, 0.999984978161781, 0.9999999508000208, 0.9999885337180773], [0.9967965799700022, 0.999996393278682, 0.9999899537207207, 0.9999645598351958, 0.9999019688306996], [0.9999833632150689, 0.9993834298787786, 0.9999971804123484, 0.9999986916208562, 0.9999999989332633], [0.9999999952964737, 0.9999998759435482, 0.9999998943254392, 0.9999805462402396, 0.9999999469117437], [0.9999999100690748, 0.9999999540734302, 0.9999986507896198, 0.9999827937567037, 0.9999913087692136], [0.9997678992409307, 0.9999934925759313, 0.9999998917678102, 0.9999994180513104, 0.9999999594161387], [0.9999760582125664, 0.999998991487342, 0.9999999402727183, 0.9999750043260202, 0.9999992502540285], [0.9999998709542511, 0.9999999514908997, 0.9999999974265538, 0.9994549911468619, 0.9999999756604565], [0.999999945354863, 0.9999997853590413, 0.999999968137185, 0.9999985342422641, 0.9999995722572632], [0.9999950116439555, 0.9997372877759512, 0.9997355449147911, 0.9999849955903775, 0.9999965974902355], [0.9999759330145799, 0.9999877031937605, 0.9999996668467434, 0.9999870221861751, 0.9999977531101737], [0.9999759533391139, 0.9978489196930604, 0.9999992662895352, 0.9999979803219187, 0.99999979482854], [0.9999999819021342, 0.9999706442527717, 0.9999999952209309, 0.9999999746530929, 0.9999941728804634], [0.9999999889379714, 0.9999999127477842, 0.9999992242805399, 0.9999996534135384, 0.9999996566526976], [0.9999996318183968, 0.9999996658783168, 0.9999987445104962, 0.9999994748030664, 0.9999963824730466], [0.9999991156509714, 0.9950820356156571, 0.9997731236134898, 0.9999976869814972, 0.9999997327238286]]"
1.0551020408163265,True consensus,"[[0.9999774164870362, 0.9999045632851042, 0.9999905317377742, 0.9999898753610946, 0.9999975256037223], [0.9999806247749954, 0.9999894140861436, 0.9999999614438484, 0.9999999934032598, 0.9999996002867945], [0.9999999449788651, 0.9999999979278246, 0.9999999997289772, 0.9999992743876773, 0.9999998226581414], [0.9999998036140242, 0.9998369979648222, 0.9997972247409914, 0.999998485321162, 0.9999779337103561], [0.9999999951963179, 0.9999999931926749, 0.9999991460983995, 0.9999999572725516, 0.9999995985092744], [0.9995494776934816, 0.9999999767787269, 0.9999893204421546, 0.9999995306433745, 0.9999486040140345], [0.9996818249927942, 0.9941656511273732, 0.9999858867381072, 0.9999984781658514, 0.9999999642988457], [0.9999999999593119, 0.9999987377761828, 0.9999999887610671, 0.9999956748241983, 0.9999999862264032], [0.9999976945724626, 0.9999999328182346, 0.9999965705797443, 0.9999989453549183, 0.9997892762507608], [0.9999171008919076, 0.9999992255394168, 0.999998286523818, 0.9999998811616826, 0.999999998970903], [0.9999939726335141, 0.9999997032054446, 0.9999999644179114, 0.9999895344117951, 0.9999997471442174], [0.9999999167830274, 0.9999999284000611, 0.999999999230056, 0.9998185194621313, 0.999999994180368], [0.9999999839164271, 0.9999995531084984, 0.9999999958565026, 0.9999997062264806, 0.9999998764129003], [0.9999999888623139, 0.9999989610272201, 0.9999933964350473, 0.9999973423288498, 0.9999995355000894], [0.999999977743564, 0.9999888906286274, 0.9999999166939759, 0.9999999147985592, 0.9999348715669228], [0.9999927250356081, 0.9999941557106087, 0.9999999972359968, 0.9999998731870845, 0.999999872059618], [0.9999999993301512, 0.9999815528831488, 0.9999999999066106, 0.9999999266815738, 0.9999943087029737], [0.9999999995626396, 0.9999996626678825, 0.9999999641354179, 0.9999997937173848, 0.9999998826698823], [0.9999999787678878, 0.9999999711159215, 0.9999996330010412, 0.9999993775069316, 0.9999993773534573], [0.9999994170572615, 0.9999990233288457, 0.9999938743962143, 0.9999932208468626, 0.9999997210438287]]"
0.736734693877551,True consensus,"[[0.9989408135676855, 0.9992596612184456, 0.9999961835995762, 0.9999989122151333, 0.9999999824204022], [0.9999285814427994, 0.9999643552795096, 0.9999998833671834, 0.9999999970336837, 0.9999999139599297], [0.9999995215237187, 0.9999981234540267, 0.9999999981602462, 0.9999996732238089, 0.9999976595769197], [0.9999999452659255, 0.9999763103773074, 0.9999500553965619, 0.9999998559278828, 0.9999696195073502], [0.9999999868243016, 0.999999852706743, 0.9999983546877715, 0.9999999340600069, 0.99999874319499], [0.9990606503544505, 0.9999857873663559, 0.9999369416908663, 0.9999998916654654, 0.9997080883491322], [0.9998559907930646, 0.9994705485207228, 0.9999980480796272, 0.9999998884509403, 0.9999999763730428], [0.9999999998540585, 0.9999977668524703, 0.9999999912491772, 0.9998450347759289, 0.9999999703373945], [0.9999994291609172, 0.9999984155515617, 0.9999764648026992, 0.9999998883788673, 0.999952556780237], [0.99935410660401, 0.9998771821714716, 0.9999840980702885, 0.9999999321939631, 0.9999999143641201], [0.9999580572342077, 0.9999807653627032, 0.9999995864262436, 0.9999999151630025, 0.9999999615328631], [0.9999999683640846, 0.9999996045272633, 0.999999999797393, 0.9999910847094443, 0.9999999985718087], [0.9999999909606878, 0.9999999240411748, 0.999999994632785, 0.9999998083217401, 0.9999999624985951], [0.9999997793676686, 0.9998452983436502, 0.9999990314298041, 0.9999896582413139, 0.9999893279216925], [0.9999999431728365, 0.9998883227867901, 0.9999919281455569, 0.9999997627896344, 0.9997346999439854], [0.9999043162511916, 0.9999630920473976, 0.9999999020755834, 0.9999999110346243, 0.9999986031575746], [0.9999999999418756, 0.9999563880842324, 0.9999999999792444, 0.9999999981343306, 0.9999982708281733], [0.9999999957215591, 0.9999996252707287, 0.9999999181025565, 0.9999995100193219, 0.9999935027853466], [0.9999998225190443, 0.9999975723356465, 0.9999978161193022, 0.9999673623627069, 0.9999862561326306], [0.9999995229710685, 0.9999769451453069, 0.9999842666774893, 0.9999906494747627, 0.9999993885229025]]"
0.8163265306122448,True consensus,"[[0.9998072677591463, 0.9996665501020084, 0.9999852713506154, 0.9999755355967268, 0.9999999360817392], [0.999925901866291, 0.99998893199537, 0.9999999348596114, 0.9999999944066574, 0.9999999228678793], [0.9999987258348803, 0.9999999970814919, 0.9999999879355821, 0.9999992032435567, 0.9999986746157997], [0.9999641693021788, 0.9996841497994169, 0.9964521580299729, 0.9999982539547251, 0.9989388262191493], [0.9999999901705258, 0.9999999912960938, 0.9999983830320166, 0.9999999581931585, 0.9999992907972424], [0.9985926430244343, 0.9999998653250077, 0.9998581506219225, 0.9999997148984775, 0.9999595238064662], [0.9992578425626928, 0.9999574817431621, 0.9999904916918013, 0.9999996316688928, 0.9999999638273636], [0.9999999999038541, 0.9999999575969386, 0.999999996203253, 0.9998992631637651, 0.999999990342577], [0.9999899757185932, 0.9999998749298126, 0.9999779265391812, 0.9999999808331363, 0.9999817488549816], [0.9995304343237903, 0.9999977774699826, 0.9999925172418279, 0.999999926935174, 0.999999963636657], [0.9999549990811253, 0.9999986543340189, 0.9999999487254696, 0.999999792738686, 0.9999999673119754], [0.9999999007728969, 0.9999999992926865, 0.9999999987077837, 0.9999744227604999, 0.9999999989183573], [0.9999999928382773, 0.9999999953369927, 0.9999999935068861, 0.9999998401715338, 0.999999976756539], [0.9999999519684754, 0.9999989349940959, 0.9999919427507037, 0.9999971710225232, 0.9999996371152525], [0.9999999241721017, 0.9999947997136924, 0.9999903438866239, 0.9999996934299274, 0.999732121462192], [0.9999732184598406, 0.9998893090576442, 0.9999999944482251, 0.9999999043358111, 0.999999555245753], [0.9999999996439114, 0.9999996453097649, 0.9999999996924154, 0.9999999940676092, 0.9999953085321392], [0.9999999997560595, 0.999999687582448, 0.9999999566249341, 0.9999998499736866, 0.999999623029457], [0.9999999819533946, 0.9999994228421556, 0.999999726092682, 0.9999994721314387, 0.9999960610063666], [0.9999994089377024, 0.9999996760052849, 0.9999963787197584, 0.9999923209770059, 0.9999993022698107]]"
0.8959183673469387,True consensus,"[[0.9999805040826439, 0.9998932906949833, 0.9999937288019284, 0.9999888598411959, 0.9999991882411987], [0.9999841130262033, 0.9999837674479332, 0.99999997188678, 0.9999999954915261, 0.9999998324040991], [0.9999998252585254, 0.9999999938184125, 0.9999999997843562, 0.9999996150256231, 0.9999993428257951], [0.9999998722034015, 0.9998867161514129, 0.9998498498858359, 0.9999991980866186, 0.9997871556936396], [0.99999999129431, 0.9999999898815664, 0.9999987712571351, 0.9999999634315951, 0.9999990623132939], [0.9995783564803465, 0.9999999568592494, 0.9999903221827617, 0.9999997158025957, 0.9999608257327856], [0.9997440557295922, 0.9944153166994102, 0.9999894508545829, 0.9999991277841311, 0.9999999329745484], [0.9999999998782154, 0.9999999539429472, 0.9999999956234502, 0.9999302835577227, 0.9999999880798216], [0.999999865023855, 0.9999999906394093, 0.999997054780141, 0.9999999175996139, 0.9999288469591496], [0.9998879282924122, 0.9999989199158777, 0.9999981945529681, 0.9999999117354548, 0.9999999979139704], [0.9999931076894254, 0.9999994891468982, 0.9999999699273804, 0.9999950640346569, 0.9999996106503157], [0.9999999365122214, 0.9999999985038188, 0.999999998548842, 0.9999509569884367, 0.9999999964017314], [0.9999999905864444, 0.9999999941781746, 0.9999999908731416, 0.9999998103023483, 0.9999999703366652], [0.9999999869963401, 0.9999989924553154, 0.9999926119128367, 0.999997471668052, 0.9999996461028579], [0.9999998994831277, 0.9999988737265174, 0.9999974806969182, 0.9999995879296737, 0.9997298647452494], [0.9999962343780837, 0.9999965596854211, 0.9999999986467666, 0.9999999394087806, 0.9999998978419675], [0.999999999542697, 0.9999996413230725, 0.9999999995792458, 0.9999999576495409, 0.9999938707540262], [0.9999999997003532, 0.9999996693871401, 0.9999999475178455, 0.9999998235790514, 0.9999995455219259], [0.999999979848763, 0.9999993966746961, 0.9999997483157699, 0.9999994674474025, 0.9999943134431369], [0.9999996285661561, 0.999999528425653, 0.9999956763481975, 0.999991914071063, 0.9999991839425504]]"
0.49795918367346936,True consensus,"[[0.9998365043929052, 0.9999998871500246, 0.99984685394259, 0.9999947061686055, 0.9999999999993279], [0.999922171365333, 0.9999999744514132, 0.9999999897275799, 0.9999999999979083, 0.999999999998373], [0.999998349888046, 0.9999996250172629, 0.9999999852905365, 0.9999999998743245, 0.9999999998573044], [0.9999433755666711, 0.9999999294262861, 0.999711561524904, 0.9999999999773002, 0.9999996705656059], [0.9999999900192926, 0.9999999997780157, 0.9999999624124999, 0.9999999999999736, 0.9999998368262668], [0.9997383221161459, 0.9999999676083643, 0.9999959186059784, 0.9999999987947263, 0.9999999730411483], [0.9999969498324629, 0.9999994132463763, 0.9999986760366734, 0.9999999997442225, 0.9999999999962568], [0.9999999998300054, 0.9999999994364791, 0.9999979073693251, 0.9999998799455472, 0.9999999999623237], [0.9999999784708103, 0.9999999999891812, 0.9999999671211602, 0.9999999999701452, 0.9999999357449727], [0.9994880962953137, 0.9999999875394294, 0.9999999992312075, 0.9999999999997965, 0.9999999999768775], [0.9999963899750106, 0.9999999978928716, 0.9999999996694336, 0.9999999998499026, 0.9999999999476152], [0.9999999709002104, 0.9999999999460936, 0.9999999997700816, 0.9999999999675485, 0.9999999999997465], [0.9999999991503881, 0.9999999998902509, 0.9999999999893994, 0.9999999992270567, 0.9999999999973588], [0.9992282771944417, 0.9996742914329458, 0.9970955923893636, 0.9999999667272198, 0.9999999773478383], [0.9999998080820157, 0.9999995781320371, 0.999996130793144, 0.9999999998856366, 0.9999999530840576], [0.999985105299647, 0.9999998619588141, 0.9999999991958503, 0.9999999999623526, 0.9999999999800644], [0.9999999999646212, 0.9999999326800688, 0.9999999999993242, 0.999999999929212, 0.9999999998826541], [0.9999999888856803, 0.9999999962718326, 0.9999999883267301, 0.9999999989705963, 0.99999999997681], [0.9999999936700971, 0.9999999996671841, 0.9999999575860374, 0.9999999999771192, 0.9999979898926843], [0.9999999853740152, 0.9999935962794945, 0.9999697457165884, 0.999992481245509, 0.9999984975101761]]"
0.41836734693877553,True consensus,"[[0.9995125163663846, 0.9999992728148713, 0.995350810044992, 0.9999643181589032, 0.9999999999995743], [0.999971245540876, 0.9999999738669345, 0.999999977452087, 0.9999999999982625, 0.9999999999999487], [0.9999998633327934, 0.9999966316308408, 0.9999999996150188, 0.9999999999078222, 0.9999999999994454], [0.9999671913774907, 0.9999965581948308, 0.999363090717326, 0.9999999994041182, 0.999994657462225], [0.9999999985627036, 0.9999999998240542, 0.9999999842461219, 0.9999999999999769, 0.9999998748797145], [0.9999938714660392, 0.9999999952479508, 0.9999986116709285, 0.9999999965953685, 0.9999999988406203], [0.999992184029335, 0.9999428283714459, 0.9999856363129638, 0.9999999998536138, 0.9999999999952921], [0.9999999981154195, 0.9999999997599033, 0.9979415104676178, 0.9999999900732157, 0.9999999999569421], [0.9999999999057485, 0.999999999927382, 0.9999999976651027, 0.9999999999490228, 0.9999990089707578], [0.9997097377928325, 0.9999994215962352, 0.9999999996863579, 0.9999999999997328, 0.9999999999946997], [0.9999998279003952, 0.9999999997571363, 0.9999999999379584, 0.9999999997314107, 0.9999999999299917], [0.9999999439491145, 0.9999999998914835, 0.9999999995283124, 0.9999999999958209, 0.9999999999999303], [0.9999999993366367, 0.9999999999186393, 0.9999999999818693, 0.9999999987672497, 0.9999999999959774], [0.9977313040546226, 0.9998147674973559, 0.9925521993825744, 0.9999999413570299, 0.9999999315357881], [0.9999999886394212, 0.9999993529285147, 0.9999998050940573, 0.9999999999086919, 0.9999999981825932], [0.999999104179941, 0.9999999491496869, 0.9999999998667276, 0.999999999946009, 0.9999999999814024], [0.9999999999748767, 0.9999999793011125, 0.9999999999908342, 0.999999999832498, 0.999999999989621], [0.9999999903683491, 0.9999999968140078, 0.9999999823787622, 0.9999999982093869, 0.9999999999642845], [0.9999999942635898, 0.9999999997044532, 0.9999999184211237, 0.9999999999537261, 0.9999964560176384], [0.9999999473093525, 0.9999999225531708, 0.9999628524389654, 0.9999953351408507, 0.9999998291991578]]"
0.1,True consensus,"[[0.991388971976259, 0.9999999985582222, 0.9999810933107468, 0.9999999999915307, 0.9999999999889386], [0.9999998839477934, 0.9999996618575645, 0.9999999979433618, 0.9999999999999382, 0.999999999999995], [0.9999988472403093, 0.9999994692677162, 0.9999999999790193, 0.9999999999999959, 0.9999999999996891], [0.999723083238214, 0.9999999961178718, 0.9999812089193182, 0.9999999999969116, 0.9999999994420119], [0.9999999773642174, 0.9999999998930398, 0.9999999910224214, 0.9999999999999969, 0.9999999986879876], [0.9999870280183623, 0.9999999935930883, 0.9999999520053242, 0.9999999999999787, 0.9999999997987457], [0.9999957107456644, 0.9996797806177665, 0.9999989389047883, 0.999999999999967, 0.9999999999936499], [0.9999999999013093, 0.9999999781428168, 0.9999993571989483, 0.9999999990804669, 0.9999999996945743], [0.9999999996319618, 0.9999999995900478, 0.9999999951552808, 0.999999999998582, 0.9999990594032105], [0.9998421870626585, 0.9999928659138871, 0.9999999943646359, 0.9999999997255445, 0.9999999999960035], [0.9999996311313848, 0.9999812216550514, 0.9999999878035404, 0.999999999870173, 0.99999999999206], [0.9999999570107735, 0.9999999997627407, 0.9999999994906915, 0.9999999999999722, 0.9999999999976661], [0.9999999893003425, 0.9999999998744702, 0.9999999999906822, 0.9999999999989347, 0.9999999999234571], [0.9999996218934176, 0.9999847769041086, 0.9999910581224558, 0.9999999764777141, 0.999999999987734], [0.9999999146152584, 0.999999926853493, 0.9999999985165112, 0.9999999999995285, 0.9999999946622464], [0.9999999584151927, 0.999999979152635, 0.9999999999817035, 0.9999999999999913, 0.9999999996732589], [0.9999999994806288, 0.999999847337735, 0.9999999999793016, 0.9999999999997657, 0.9999999987776872], [0.999999942414039, 0.9999998908873926, 0.9999999389609879, 0.9999999999721315, 0.9999999998935056], [0.9999994508343631, 0.9999999999245757, 0.9999996347399507, 0.9999999999944642, 0.9999987506014828], [0.9999999902437708, 0.9999885235745232, 0.9999995567651015, 0.9999999946820158, 0.999999979886198]]"
0.3387755102040816,True consensus,"[[0.999630319813157, 0.9999995079894878, 0.9961397693115014, 0.9999815095644013, 0.9999999999998564], [0.9999727450467003, 0.9999999579667301, 0.9999999834059463, 0.999999999998917, 0.9999999999999659], [0.9999998923687187, 0.9999956303097196, 0.999999999711634, 0.9999999999393359, 0.9999999999995004], [0.999971793134498, 0.999997686493591, 0.9993129243431268, 0.9999999996559973, 0.9999961850747328], [0.9999999986395138, 0.9999999998011068, 0.9999999883062852, 0.9999999999999798, 0.9999999036898296], [0.999995649015678, 0.9999999955142371, 0.9999989205036649, 0.9999999978504023, 0.999999998828256], [0.9999918316198302, 0.9999261681917109, 0.9999862855394674, 0.9999999999046064, 0.999999999996535], [0.9999999986934981, 0.9999999997926946, 0.9979787732567516, 0.999999991066485, 0.9999999999689013], [0.9999999999583111, 0.9999999999449705, 0.9999999987100996, 0.99999999997812, 0.9999993875208769], [0.9996855485138864, 0.9999993097308268, 0.9999999998097505, 0.999999999999812, 0.9999999999973261], [0.9999998728876888, 0.9999999997477631, 0.9999999999563, 0.9999999999014609, 0.9999999999561977], [0.9999999492332389, 0.9999999998993438, 0.9999999996978601, 0.999999999997804, 0.9999999999999515], [0.9999999994984023, 0.999999999937014, 0.9999999999868253, 0.9999999992664677, 0.9999999999974156], [0.9979469709006185, 0.9998385093725692, 0.9921156212038809, 0.9999999588270214, 0.9999999545002861], [0.999999992573011, 0.9999994206432239, 0.999999851468295, 0.9999999999542083, 0.9999999982375756], [0.9999994629422726, 0.9999999323952279, 0.9999999998990625, 0.9999999999710171, 0.9999999999793446], [0.9999999999810022, 0.999999980733119, 0.9999999999930288, 0.9999999999206942, 0.9999999999919731], [0.9999999886384667, 0.9999999957056283, 0.9999999872670421, 0.9999999992150749, 0.9999999999736475], [0.9999999928489223, 0.9999999996032782, 0.9999999234453255, 0.9999999999654694, 0.9999967792613736], [0.9999999699766645, 0.9999999302810852, 0.9999611677649797, 0.9999954214903294, 0.9999998865451996]]"
